63	47	75	84	48	50	64	77	16	82	98	47	95	7	31
21	51	59	91	35	67	37	42	24	84	12	73	55	22	29
88	77	51	44	27	67	59	43	40	5	66	61	88	95	50
45	84	17	56	1	93	58	2	40	16	72	33	47	99	44
56	15	34	80	88	9	45	30	49	93	3	47	97	75	41
9	52	32	12	13	78	75	11	61	28	98	19	40	61	56
68	74	21	32	58	60	46	12	41	71	54	48	61	95	69
56	6	64	51	47	84	61	12	94	48	68	87	69	92	90
74	32	80	99	58	6	49	67	12	80	99	91	92	31	72
40	77	23	69	86	55	94	59	55	34	60	25	85	76	44
22	4	92	100	33	86	81	6	55	47	34	1	98	77	10
74	22	48	85	61	51	100	32	33	99	2	27	19	62	98
85	20	79	96	53	76	74	69	27	41	28	34	51	55	62
70	34	70	47	84	1	14	39	20	41	10	40	85	45	30
85	43	95	71	40	82	32	67	13	35	58	46	32	14	91
57	93	54	19	28	70	58	71	44	27	90	80	24	27	70
51	54	86	99	36	65	2	41	43	14	30	47	28	7	21
39	73	81	78	4	100	83	18	98	48	19	64	38	85	38
53	56	11	46	33	59	46	16	67	6	3	3	86	40	77
90	28	81	86	27	81	22	63	84	36	6	87	74	63	5
85	83	21	43	46	81	25	95	28	83	52	35	46	34	16
1	94	87	75	62	9	16	60	4	39	75	25	52	73	29
76	59	16	37	68	8	93	32	6	32	66	54	13	61	42
83	40	43	54	50	29	51	86	74	29	3	60	97	55	6
22	6	43	55	65	15	63	17	20	65	97	92	64	68	55
38	24	1	86	45	58	7	70	11	85	32	48	14	17	55
40	77	45	24	64	100	59	10	31	34	66	63	26	92	73
50	49	37	13	75	83	62	81	82	26	45	72	93	19	63
57	81	90	17	7	28	38	73	13	100	20	47	58	11	47
28	97	46	41	36	68	29	72	88	5	14	21	44	34	17
28	91	81	9	36	9	30	88	98	10	2	16	42	13	77
32	9	37	63	18	97	84	94	68	24	97	34	36	94	33
64	23	55	91	94	45	28	78	31	33	46	22	32	89	84
66	62	36	43	82	66	51	52	59	8	45	94	43	90	43
70	9	38	82	56	80	68	72	70	70	45	7	37	94	76
86	15	54	90	70	98	12	56	67	91	32	1	85	11	30
31	65	70	91	32	54	59	93	15	59	50	100	80	62	3
47	87	5	5	42	31	39	3	69	16	49	53	14	1	20
96	40	74	32	21	89	35	78	43	29	88	93	39	85	67
67	83	34	5	79	2	45	63	69	19	42	78	80	19	75
44	97	1	50	51	65	69	37	50	35	80	63	54	55	61
60	19	6	28	48	85	1	34	23	21	8	1	2	33	44
47	96	19	75	7	66	89	51	47	50	33	7	50	66	4
20	73	71	93	64	4	16	83	9	68	88	29	17	18	34
61	54	37	41	74	89	0	98	38	100	18	18	16	86	15
92	61	16	58	87	87	54	47	25	97	68	2	14	67	8
61	92	5	89	69	13	39	82	79	99	46	14	10	87	37
64	47	6	37	58	14	36	60	28	39	69	78	22	30	58
9	14	12	79	94	98	39	77	34	98	55	24	56	33	78
8	56	75	51	44	68	61	44	97	51	17	26	55	2	28
78	68	23	10	44	86	29	0	73	23	35	75	76	53	93
86	9	59	78	30	3	55	25	78	86	94	96	97	89	87
9	34	82	31	77	78	3	43	37	43	91	18	47	13	5
9	51	4	51	48	72	30	45	81	36	66	73	88	73	22
84	88	88	94	20	60	88	78	50	68	82	86	4	37	3
20	46	89	76	12	87	78	16	2	7	43	85	14	72	27
87	29	34	95	25	31	36	50	24	77	87	69	48	50	91
7	52	78	79	45	92	33	91	52	27	50	71	94	12	10
4	38	74	53	55	44	16	35	69	57	21	29	93	53	34
25	91	11	38	26	6	53	36	86	9	84	48	95	9	20
3	66	17	5	81	2	97	20	78	89	40	14	88	35	35
38	58	52	97	89	77	42	48	14	24	83	23	66	47	46
57	4	27	97	58	83	87	56	62	30	78	10	61	95	69
18	61	48	15	6	82	61	62	78	51	39	3	75	68	22
57	8	71	99	21	13	17	66	55	62	43	25	58	75	60
28	93	64	73	63	14	97	34	23	80	63	37	28	77	47
56	7	75	3	96	18	78	55	51	36
